City,ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,County
Atherton,94027,89,723,137,4764,380,1,0,167,0,6261,891,14.23,250001.0,8.8,68.0,18.5,1.2,84.7,7213.0,7397088.91,San Mateo
Los Altos,94022,481,3861,501,27056,3065,20,4,1073,0,36061,4954,13.754999999999999,250001.0,5.75,54.650000000000006,33.95,0.55,86.35,22136.0,4131801.5749999997,Santa Clara
Portola Valley,94028,128,645,110,4451,609,1,1,188,0,6133,834,13.6,250001.0,9.0,79.5,5.9,0.0,85.2,6582.0,3708911.26,San Mateo
Newport Coast,92657,107,933,126,7458,302,13,1,243,0,9183,1189,12.95,181176.0,6.0,67.0,22.7,0.2,78.3,9342.0,3949922.71,Orange
Pacific Palisades,90272,226,1533,229,13385,1385,28,1,581,0,17368,2142,12.33,212115.0,5.0,82.1,7.2,0.4,78.9,21282.0,3376952.31,Los Angeles
Saratoga,95070,324,2589,378,21252,2143,53,6,724,0,27469,3366,12.25,222235.0,2.9,39.3,52.5,0.1,80.1,32189.0,3442554.51,Santa Clara
Manhattan Beach,90266,299,1980,550,21553,1678,16,22,903,0,27001,2899,10.74,169586.0,7.6,71.3,14.7,0.5,77.9,35585.0,2857420.44,Los Angeles
Orinda,94563,300,1230,455,12777,1223,7,0,529,0,16521,1766,10.69,250001.0,6.0,70.4,14.7,0.6,87.0,19454.0,1961092.78,Contra Costa
Ross,94957,54,152,46,1510,97,0,0,49,0,1908,201,10.54,250001.0,4.0,86.2,5.8,1.6,83.2,1949.0,3802986.55,Marin
Cupertino,95014,314,3199,538,33142,3749,66,2,1041,0,42051,4306,10.24,198602.0,3.1,22.7,69.1,1.1,81.0,62185.0,2558524.15,Santa Clara
Los Gatos,95030,940,3077,976,33349,2550,48,7,1179,0,42126,4304,10.076666666666666,180171.33333333334,6.7,74.93333333333334,13.466666666666667,0.3666666666666667,73.03333333333333,16814.666666666668,2313289.48,Santa Clara
Menlo Park,94025,348,2357,768,23943,2380,11,1,704,0,30512,3072,10.07,183750.0,17.8,56.2,16.1,2.7,71.5,41826.0,2485795.47,San Mateo
Belvedere Tiburon,94920,212,779,141,8237,700,8,1,253,0,10331,1040,10.07,203717.0,6.1,81.5,7.2,0.2,79.2,12803.0,3100980.96,Marin
Palo Alto,94301,659,4378,1623,54410,5520,48,44,1492,0,68174,5918,10.032499999999999,164244.5,16.275,48.4,25.6,3.35,73.4,24604.75,2884141.4575,Santa Clara
San Marino,91108,81,722,154,8370,638,18,2,274,0,10259,1014,9.88,170223.0,6.9,24.2,66.1,0.3,80.6,12755.0,2301228.27,Los Angeles
Ladera Ranch,92694,350,1669,598,20450,1178,29,9,669,0,24952,2367,9.49,165290.0,11.0,67.0,13.0,1.1,65.5,34879.0,1127442.37,Orange
Rancho Santa Fe,92067,264,921,276,10079,518,6,0,260,0,12324,1187,9.415,184119.5,11.0,68.55,12.05,0.0,70.55,5195.5,3485859.4349999996,San Diego
Corona Del Mar,92625,194,740,207,8844,425,4,1,248,0,10663,992,9.3,167925.0,8.2,80.3,7.4,0.1,71.7,13102.0,3360027.43,Orange
Dublin,94568,432,3225,1079,37811,2876,53,5,990,0,46471,4268,9.18,171168.0,9.6,28.8,52.3,3.6,67.6,69818.0,1230336.89,Alameda
Mountain View,94043,477,3829,1078,45214,4405,64,6,1224,0,56297,5117,8.923333333333334,157833.66666666666,19.266666666666666,41.43333333333334,31.200000000000003,2.8666666666666667,72.60000000000001,27904.666666666668,1954299.076666667,Santa Clara
